train_loss,valid_loss,train_acc,valid_acc
4.832027560365415,3.3253132131999124,0.03757485030832405,0.24071856242810893
3.6358967818185954,1.7471355693782875,0.1594311376888595,0.550898204092494
2.7702301899116195,1.1735482574936873,0.2842814370900571,0.659880239164044
2.3626405296211472,0.9576457920902504,0.36422155685053614,0.6958083840901267
2.131414219005379,0.8218588422158521,0.40838323356862555,0.754491019034814
2.01379447811378,0.794163593846167,0.44461077844311375,0.7508982024506894
1.9319400113499807,0.7458985534256803,0.467964071820596,0.7700598808819662
1.8537319608791145,0.7393752845461498,0.4886227545267094,0.7604790415592536
1.8011148437054572,0.7059202600382045,0.4937125748502994,0.765269461934438
1.784734288661066,0.6784017712413194,0.5019461077844312,0.7760479064044838
1.7355243237432605,0.639556816131055,0.5193113773168918,0.7964071832731099
1.6858931688491456,0.6350289351212051,0.5284431137724551,0.7904191603203734
1.6525651581986935,0.6513160904010613,0.5389221556886228,0.791616765324941
1.6523052124206177,0.6267520382732689,0.5411676646706587,0.798802396637237
1.5981415147552946,0.6095988345717241,0.544610778371731,0.8035928128008357
1.5809814317497664,0.646374764342508,0.5556886228258738,0.7928143699012117
1.6154803874249943,0.5718902354468842,0.5591317364555634,0.8035928132291326
1.6263917970086286,0.6152445433025588,0.5561377244795154,0.7928143689018524
1.56302422006687,0.5835402106453559,0.5610778443827601,0.8191616762897925
1.6205919943883746,0.6147131870249788,0.5511976047904191,0.798802396637237
